9,11,20,29,30,41,48,52,58,62,-1,-1,-1,-1,-1,-1
9,11,20,29,30,41,48,52,58,62,-1,-1,-1,-1,-1,-1
9,11,20,29,30,41,48,52,58,62,-1,-1,-1,-1,-1,-1
14,17,18,7,21,27,66,63,60,-1,-1,-1,-1,-1,-1,-1
14,17,18,7,21,27,66,63,60,-1,-1,-1,-1,-1,-1,-1
14,17,18,7,21,27,66,63,60,-1,-1,-1,-1,-1,-1,-1
0,2,5,8,22,26,51,61,38,-1,-1,-1,-1,-1,-1,-1
0,2,5,8,22,26,51,61,38,-1,-1,-1,-1,-1,-1,-1
0,2,5,8,22,26,51,61,38,-1,-1,-1,-1,-1,-1,-1
0,9,11,14,38,41,48,52,58,-1,-1,-1,-1,-1,-1,-1
0,9,11,38,41,48,52,58,14,-1,-1,-1,-1,-1,-1,-1
0,9,11,38,41,48,52,58,14,-1,-1,-1,-1,-1,-1,-1
2,5,7,8,18,21,22,29,60,61,-1,-1,-1,-1,-1,-1
2,5,7,8,18,21,22,29,60,61,-1,-1,-1,-1,-1,-1
2,5,7,8,18,21,22,29,60,61,-1,-1,-1,-1,-1,-1
17,20,26,27,30,51,62,63,66,-1,-1,-1,-1,-1,-1,-1
14,18,22,26,38,48,61,66,62,-1,-1,-1,-1,-1,-1,-1
17,20,26,27,30,51,62,63,66,-1,-1,-1,-1,-1,-1,-1
2,11,27,8,51,52,58,60,63,-1,-1,-1,-1,-1,-1,-1
2,11,27,8,51,52,58,60,63,-1,-1,-1,-1,-1,-1,-1
2,11,27,8,51,52,58,60,63,-1,-1,-1,-1,-1,-1,-1
2,11,27,8,51,52,58,60,63,-1,-1,-1,-1,-1,-1,-1
0,5,7,9,17,20,21,29,30,41,-1,-1,-1,-1,-1,-1
0,5,7,9,17,20,21,29,30,41,-1,-1,-1,-1,-1,-1
0,5,7,9,17,20,21,29,30,41,-1,-1,-1,-1,-1,-1
0,5,7,9,17,20,21,29,30,41,-1,-1,-1,-1,-1,-1
14,18,22,26,38,48,61,66,62,-1,-1,-1,-1,-1,-1,-1
14,18,22,26,38,48,61,66,62,-1,-1,-1,-1,-1,-1,-1
14,18,22,26,38,48,61,66,62,-1,-1,-1,-1,-1,-1,-1
14,18,22,26,38,48,61,66,62,-1,-1,-1,-1,-1,-1,-1
